unit -> angles in degrees;
Azimuth, angle between the magnetic north direction and the y-axis, around the z-axis (0 to 359). 0=North, 90=East, 180=South, 270=West;Pitch, rotation around x-axis (-180 to 180), with positive values when the z-axis moves toward the y-axis;Roll, rotation around y-axis (-90 to 90), with positive values when the x-axis moves toward the z-axis;
Timestamp;Azimuth;Pitch;Roll;
4.282104;21.140625;5.40625;52.953125;
4.293623;20.875;4.9375;51.28125;
4.3052697;20.859375;4.53125;52.75;
4.3145766;21.25;3.8125;55.375;
4.330403;27.984375;3.078125;58.609375;
4.33925;34.484375;2.4375;61.34375;
4.3497305;40.875;1.484375;63.796875;
4.362861;46.71875;0.703125;65.34375;
4.372911;52.078125;-0.140625;66.25;
4.382969;57.4375;-1.265625;66.65625;
4.396487;63.1875;-2.9375;65.953125;
4.405383;69.484375;-5.125;62.5625;
4.4162254;80.953125;-8.796875;58.921875;
4.4280853;95.09375;-10.640625;55.234375;
4.437792;113.6875;-12.34375;51.515625;
4.446695;135.60938;-14.28125;48.59375;
4.4568214;155.09375;-15.75;46.390625;
4.46695;170.28125;-17.46875;44.25;
4.477071;181.40625;-19.359375;42.40625;
4.4917192;189.0;-20.96875;41.09375;
4.5033526;193.82813;-22.140625;40.359375;
4.512099;194.14063;-22.734375;40.484375;
4.522217;194.42188;-23.140625;40.9375;
4.532283;194.5625;-23.0625;42.296875;
4.542386;194.5625;-23.484375;43.65625;
4.552508;194.57813;-23.640625;44.140625;
4.562831;194.59375;-23.71875;44.515625;
4.577704;194.67188;-24.21875;44.40625;
4.5892153;194.8125;-24.890625;44.453125;
4.6005235;194.95313;-27.5625;44.546875;
4.6097507;195.10938;-27.5625;44.546875;
4.622084;195.29688;-31.21875;44.265625;
4.631279;195.5;-32.984375;44.265625;
4.640977;195.78125;-34.671875;43.46875;
4.651071;196.14063;-35.6875;42.8125;
4.66117;196.54688;-35.84375;42.21875;
4.6723776;200.25;-35.859375;41.75;
4.6813555;200.51563;-35.859375;41.75;
4.691412;200.85938;-35.71875;40.9375;
4.702216;201.26563;-34.734375;40.421875;
4.711641;201.6875;-32.6875;40.796875;
4.721753;202.10938;-30.28125;41.765625;
4.731802;202.5;-28.578125;42.546875;
4.74307;206.60938;-28.046875;41.078125;
4.7524586;206.89063;-27.953125;41.125;
4.762564;207.26563;-28.421875;39.4375;
4.772629;211.03125;-29.15625;37.96875;
4.7827396;211.32813;-29.609375;36.90625;
4.792836;211.625;-29.328125;36.703125;
4.802946;211.90625;-27.71875;37.890625;
4.812911;212.14063;-24.96875;39.359375;
4.823129;212.375;-21.453125;40.640625;
4.833263;212.65625;-17.9375;41.40625;
4.84332;213.01563;-15.078125;41.71875;
4.855035;213.45313;-12.71875;42.015625;
4.865308;213.82813;-11.578125;43.296875;
4.873866;214.07813;-11.484375;44.9375;
4.884;214.21875;-11.890625;46.046875;
4.894045;214.29688;-12.578125;46.578125;
4.904152;214.34375;-13.34375;46.859375;
4.914229;214.42188;-14.046875;46.171875;
4.924334;214.59375;-14.125;45.421875;
4.934449;214.82813;-14.125;44.640625;
4.944776;215.21875;-13.8125;43.5;
4.9545717;219.92188;-13.03125;42.515625;
4.964792;223.84375;-11.78125;41.53125;
4.97645;227.92188;-10.203125;40.9375;
4.985615;232.4375;-8.1875;40.75;
4.995308;237.75;-6.328125;40.75;
5.005144;243.92188;-4.453125;41.5;
5.015254;252.25;-2.234375;41.984375;
5.025375;261.875;-0.671875;43.109375;
5.035396;275.57813;1.421875;43.90625;
5.045505;290.70313;3.25;44.25;
5.0555987;306.35938;4.65625;45.46875;
5.0656967;323.01563;6.0;47.453125;
5.075927;338.71875;7.46875;49.875;
5.0859857;351.96875;8.78125;52.4375;
5.097088;1.953125;9.78125;54.875;
5.106458;9.59375;10.484375;57.109375;
5.1161065;14.75;10.71875;58.34375;
5.12623;18.546875;10.71875;59.71875;
5.136306;18.890625;10.640625;60.921875;
5.146397;22.75;9.78125;62.359375;
5.156507;23.09375;9.078125;63.203125;
5.16658;23.5;8.0;63.515625;
5.176713;23.921875;6.875;63.15625;
5.186779;24.328125;6.25;63.125;
5.196848;24.671875;6.03125;62.75;
5.2069707;25.0;5.71875;62.71875;
5.2172627;25.3125;5.578125;62.890625;
5.2274556;25.59375;5.328125;62.84375;
5.237249;25.875;4.671875;62.609375;
5.2473407;26.171875;4.03125;62.453125;
5.257466;26.484375;3.078125;61.875;
5.2675977;30.34375;1.765625;62.5625;
5.2776423;30.765625;0.1875;63.25;
5.2878184;35.515625;-1.84375;63.078125;
5.297878;40.109375;-4.8125;62.375;
5.3083677;44.953125;-7.65625;60.984375;
5.3182287;49.3125;-9.875;59.265625;
5.3343916;49.75;-10.8125;58.671875;
5.3435726;54.296875;-11.0625;58.71875;
5.353665;58.15625;-11.171875;59.609375;
5.3637056;58.578125;-10.71875;61.234375;
5.373831;63.484375;-11.0625;61.96875;
5.383938;67.9375;-11.40625;62.96875;
5.400669;72.484375;-12.109375;63.9375;
5.4140286;79.671875;-14.84375;62.390625;
5.423257;86.515625;-16.0625;60.109375;
5.432714;94.578125;-17.59375;56.734375;
5.442771;105.375;-19.1875;53.125;
5.45283;122.234375;-20.984375;48.859375;
5.4661527;143.9375;-22.328125;44.953125;
5.4745736;166.54688;-24.234375;40.96875;
5.484632;184.53125;-26.375;37.578125;
5.4946895;197.67188;-28.5625;34.265625;
5.505017;206.46875;-30.546875;31.65625;
5.5164285;212.09375;-32.734375;29.546875;
5.525679;212.5;-35.078125;28.171875;
5.5354037;212.92188;-37.5;27.15625;
5.5455747;213.26563;-39.640625;27.125;
5.555598;213.59375;-41.046875;26.875;
5.56561;213.875;-42.40625;27.140625;
5.5758967;214.14063;-43.15625;27.21875;
5.586001;214.40625;-42.859375;27.765625;
5.596111;214.6875;-42.65625;28.203125;
5.6059318;214.95313;-42.25;28.78125;
5.616016;215.17188;-41.9375;29.96875;
5.6259775;215.34375;-42.328125;30.84375;
5.637511;215.45313;-43.171875;31.59375;
5.646754;215.53125;-44.90625;32.046875;
5.6562233;215.60938;-46.671875;32.078125;
5.66628;215.65625;-47.578125;32.71875;
5.676373;215.70313;-47.625;33.28125;
5.6864595;215.78125;-47.5;33.328125;
5.696559;215.9375;-47.046875;32.890625;
5.706653;216.17188;-46.453125;32.265625;
5.7167315;216.46875;-45.265625;31.984375;
5.726811;216.8125;-43.640625;32.09375;
5.7369084;217.15625;-42.21875;32.796875;
5.747008;217.51563;-39.703125;33.65625;
5.7585697;217.84375;-36.328125;35.25;
5.767832;218.21875;-32.21875;36.53125;
5.7772737;218.59375;-32.21875;36.53125;
5.7873487;222.5;-29.875;35.828125;
5.797468;226.125;-28.421875;33.59375;
5.807549;226.48438;-27.640625;31.6875;
5.81762;230.125;-27.21875;30.09375;
5.8281927;230.4375;-26.46875;29.375;
5.837974;230.75;-25.140625;30.03125;
5.848002;231.04688;-23.296875;31.328125;
5.8580456;231.34375;-21.0625;33.046875;
5.868103;231.625;-19.03125;34.59375;
5.8796988;231.875;-17.5;36.28125;
5.889048;232.0625;-16.28125;38.1875;
5.898366;232.17188;-15.25;40.109375;
5.9084516;232.15625;-14.5625;42.171875;
5.918537;231.98438;-14.421875;44.390625;
5.9286427;231.64063;-14.6875;45.796875;
5.9387245;227.51563;-15.484375;46.890625;
5.94881;227.09375;-16.21875;47.453125;
5.958919;223.17188;-16.796875;47.3125;
5.968992;222.84375;-17.390625;47.171875;
5.9790826;222.57813;-17.265625;46.4375;
5.989256;222.4375;-16.6875;45.5;
6.000773;222.45313;-15.375;45.125;
